구간이름,면수,장애면수,정기면수,주소,재입장시간,위도,경도,데이터기준일자
향남2 상신리,56,3,6,경기도 화성시 만세구 향남읍상신리1294-3,30,37.10512617,126.8999559,2025-11-17
하가등천,61,3,18,경기도 화성시 만세구 향남읍 장짐리 401-9(평리29-1),30,37.1346351,126.9102738,2025-11-17
향남2 하길리 중심상가,346,16,0,경기도 화성시 만세구 향남읍하길리1471-1,30,37.11467881,126.9118594,2025-11-17
하길리임시,280,0,30,경기도 화성시 만세구 향남읍하길리1479,30,37.11742966,126.9097006,2025-11-17
향남 환승터미널,162,8,50,경기도 화성시 만세구 향남읍 행정리 472-1(향남로424),30,37.13288233,126.9218398,2025-11-17
향남 행정리,81,4,9,경기도 화성시 만세구 향남읍행정리437-1,30,37.13087401,126.9192965,2025-11-17
동화 중심주차타워,217,9,22,경기도 화성시 효행구 봉담읍 동화리 598(동화길 93-9),30,37.21700666,126.9592266,2025-11-17
오산동,128,6,65,경기도 화성시 동탄구 오산동 990-1,30,37.19219636,127.0887749,2025-11-17
동탄호수공원(지하),312,14,0,경기도 화성시 동탄구 동탄순환대로 69,30,37.1669238,127.1024279,2025-11-17
석우동 제1,25,1,11,경기도 화성시 동탄구 석우동17,30,37.22199764,127.0761708,2025-11-17
석우동 제2,21,1,11,경기도 화성시 동탄구 석우동4,30,37.22283049,127.076818,2025-11-17
봉담2 체육공원(지하),225,9,0,경기도 화성시 효행구 봉담읍 상리1길 87,30,37.22552911,126.9426407,2025-11-17
치동천 체육공원,76,4,0,경기도 화성시 동탄구 동탄순환대로29길 38,30,37.20589779,127.1069567,2025-11-17
돌모루공원,57,3,0,경기도 화성시 동탄구 석우동 4,30,37.22283049,127.076818,2025-11-17
에코스쿨,62,3,0,경기도 화성시 동탄구 노작로 158,30,37.20277389,127.074203,2025-11-17
노작 공원,83,3,0,"경기도 화성시 동탄구 노작로(동탄구 석우동, 화성동탄 신도시 홍보관)",30,37.20596461,127.0756356,2025-11-17
동학산 공원,85,4,0,경기도 화성시 동탄구 삼성1로 160,30,37.21821008,127.0778808,2025-11-17
